,Kingdom,Phylum,Class,Order,Family,Genus,Specie
ASV17,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV8,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV4,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV3,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Unidentified_Fusarium
ASV41,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Xeromyces,Xeromyces_bisporus
ASV9,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV46,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_halophilicus
ASV12,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV18,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Unidentified_Candida
ASV51,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV20,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Unidentified_Botryosphaeriaceae,Unidentified_Botryosphaeriaceae
ASV24,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV59,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Unidentified_Eremothecium
ASV44,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV60,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV98,Fungi,Ascomycota,Sordariomycetes,Unidentified_Sordariomycetes,Unidentified_Sordariomycetes,Unidentified_Sordariomycetes,Unidentified_Sordariomycetes
ASV122,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Unidentified_Candida
ASV141,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Xerochrysium,Unidentified_Xerochrysium
ASV116,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
ASV276,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unidentified_Aspergillus
